Category,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013
Transportation,176.08,176.38,183.47,183.25,186.68,188.76,188.84,188.96,177.77,171.19,170.27,168,167.36,169.02
On Road,162.64,163.12,169.25,168.52,171.3,172.42,172.12,172.15,162.77,158.2,157.22,154.8,153.96,155.24
Passenger Vehicles,126.06,126.69,131.58,130.77,131.73,131.89,131.12,130.45,124.31,122.9,122.25,120.1,119.92,120.23
Heavy Duty Trucks,36.58,36.43,37.67,37.74,39.57,40.53,41,41.7,38.45,35.31,34.97,34.7,34.04,35.02
Ships & Commercial Boats,3.5,3.32,3.63,3.8,3.81,4.06,4.11,4.27,4.02,3.66,3.68,3.7,3.88,3.96
Aviation (Intrastate),4.15,4.07,4.12,4.25,4.5,4.5,4.57,4.98,4.51,4.04,3.85,3.75,3.73,3.88
Rail,1.88,1.89,2.5,2.7,2.91,3.34,3.53,3.17,2.38,1.94,2.33,2.49,2.48,2.48
Off Road [1],2.63,2.79,2.77,2.84,3.03,3.22,3.32,3.18,2.82,2.25,2.03,2.13,2.23,2.33
Unspecified,1.28,1.19,1.21,1.13,1.13,1.22,1.2,1.22,1.27,1.1,1.16,1.14,1.08,1.13
Electric Power,104.85,122,108.64,112.61,115.2,107.85,104.53,113.93,120.14,101.32,90.3,88.04,95.09,90.45
In-State Generation,58.95,62.98,49.68,48.05,49.15,45.05,49.85,54.12,54.32,53.27,46.7,41.18,51.02,50.46
Natural Gas,50.92,55.46,42.17,40.92,42.4,38.11,43.07,47.12,48.02,46.08,40.59,35.92,45.77,47.04
Other Fuels,6.84,6.36,6.36,5.98,5.59,5.77,5.63,5.85,5.15,5.85,5.01,4.01,4.44,2.49
Fugitive and Process Emissions,1.18,1.16,1.15,1.15,1.16,1.16,1.15,1.16,1.14,1.34,1.1,1.25,0.82,0.92
Imported Electricity,45.9,59.02,58.96,64.56,66.04,62.8,54.68,59.81,65.82,48.04,43.59,46.86,44.07,39.99
Unspecified Imports,14.27,25.42,26.92,32.05,32.92,30.01,27.95,32.73,37.92,14.99,13.45,15.52,17.48,11.53
Specified Imports,31.64,33.59,32.04,32.51,33.13,32.79,26.73,27.08,27.9,33.05,30.14,31.34,26.59,28.46
Industrial,97.87,96.35,97.27,96.08,98.02,96.01,94.13,90.81,91.36,88.79,92.12,91.97,92.52,92.68
Refineries and Hydrogen Production,28.52,29.1,29.25,29.89,29.13,29.8,29.7,29.26,28.47,28.34,30.39,30.12,29.88,29.27
General Fuel Use,20.25,19.09,20.32,16.54,17.07,16.05,16.01,14.81,16.05,15.6,18.03,19.18,19.07,19.01
Natural Gas,16.82,14.62,15.18,11.97,12.8,12.72,12.38,11.56,12.37,11.46,13.46,14.48,14.46,14.38
Other Fuels,3.43,4.46,5.14,4.57,4.27,3.33,3.63,3.25,3.67,4.14,4.57,4.7,4.6,4.63
Oil & Gas Extraction [2],19.81,20.18,18.91,21.39,21.07,19.74,18.07,18.18,19.43,18.34,17.44,17.37,18.06,19.65
Fuel Use,17.53,17.76,16.51,19.03,19.2,17.91,15.75,15.78,17.03,15.92,15.01,14.91,15.5,16.99
Fugitive Emissions,2.29,2.41,2.4,2.36,1.87,1.83,2.32,2.39,2.4,2.42,2.44,2.46,2.56,2.67
Cement Plants,9.41,9.52,9.62,9.71,9.81,9.91,9.74,9.14,8.63,5.72,5.56,6.14,6.92,7.2
Clinker Production,5.43,5.52,5.6,5.68,5.77,5.85,5.8,5.55,5.28,3.6,3.46,4.08,4.65,4.93
Fuel Use,3.98,4,4.01,4.03,4.05,4.06,3.95,3.59,3.34,2.12,2.1,2.06,2.26,2.28
Cogeneration Heat Output,11.73,10.48,10.65,10.59,12.92,12.41,12.16,11.15,10.4,12.55,12.6,11.14,10.81,9.82
Other Fugitive and Process Emissions,8.15,7.99,8.52,7.96,8.02,8.09,8.44,8.26,8.38,8.23,8.1,8.02,7.78,7.73
Pipelines,3.6,3.68,4.3,3.76,3.85,3.88,4.11,4,4.13,4.2,4.04,4.03,3.84,3.82
Manufacturing,0.3,0.32,0.26,0.27,0.28,0.28,0.27,0.25,0.24,0.22,0.22,0.24,0.23,0.2
Wastewater Treatment,2.41,2.37,2.39,2.37,2.38,2.4,2.39,2.41,2.38,2.29,2.33,2.32,2.31,2.34
Other,1.85,1.62,1.57,1.56,1.51,1.53,1.67,1.6,1.63,1.52,1.5,1.43,1.4,1.37
Commercial and Residential,43.18,42.08,44.06,42.43,43.8,42.25,42.94,43.15,43.47,43.7,44.88,45.4,42.88,43.54
Residential Fuel Use,29.38,28.47,28.62,28.14,29.17,27.98,28.36,28.5,28.82,28.45,29.18,29.64,27.34,28.11
Natural Gas,27.98,27.38,27.49,26.62,27.33,25.93,26.55,26.68,26.62,26.26,26.99,27.51,25.76,26.52
Other Fuels,1.41,1.09,1.13,1.52,1.84,2.06,1.81,1.82,2.2,2.19,2.2,2.13,1.58,1.59
Commercial Fuel Use,11.47,11.31,13.11,12.74,12.7,12.56,12.84,12.83,12.94,12.99,13.42,13.61,13.41,13.31
Natural Gas,10.05,10.08,11.88,11.36,11.14,10.92,11.6,11.47,11.14,11,11.17,11.33,11.24,11.28
